Type article_encoded,Mois,Année,Horizon,Code article_encoded,Code Fournisseur_encoded,Jour,Article_Fournisseur,Quantité_Predite_CB,Quantité_Réelle,Erreur_Absolue,Date commande,Type article
3,1,2022,60,495,25,10,Bande SF en PVC blanche 3250   - Société Cherif,1.8443433753989797,1.0,0.8443433753989797,2022-01-10,Produit emballage
2,5,2023,7,769,66,18,Tube de cryoscope 2.5ml        - Société Mansour,2.683475674494449,2.0000000000000004,0.6834756744944483,2023-05-18,Matériel
2,9,2022,7,556,32,8,REGISTRE DEPART                - Société Maher,2.808024304333806,1.0,1.8080243043338058,2022-09-08,Matériel
4,10,2023,7,439,8,31,delisso fraise tetra           - Société Ben labher,1.136854165663709,1.0,0.136854165663709,2023-10-31,Produit matière première
2,2,2023,7,3485,36,15,ANNEAU 927421-0004             - Société Gharbi,1.8974755969458985,3.999999999999999,2.1025244030541006,2023-02-15,Matériel
2,1,2023,7,3253,36,17,HOSE CLIP 6-10 mm 90132-0021   - Société Gharbi,2.465052779514821,2.0000000000000004,0.4650527795148207,2023-01-17,Matériel
2,8,2022,7,1694,36,24,Ressort de compression inox    - Société Gharbi,2.530308321470111,3.0,0.4696916785298888,2022-08-24,Matériel
2,2,2023,7,2572,81,24,"GASKETS 73,9*80,9*3,7          - Société Belhadj",1.5730463743102363,1.0,0.5730463743102363,2023-02-24,Matériel
2,10,2023,7,456,25,27,Pompe de gavage fioul lourd    - Société Cherif,1.937803377322751,1.0,0.937803377322751,2023-10-27,Matériel
2,7,2022,7,4078,62,26, JOINTS CLAMP (BLANC)  D/76    - Société Ghazouani,1.959299951091105,2.0000000000000004,0.04070004890889534,2022-07-26,Matériel
6,9,2022,7,446,37,15,CLN - AGBA                     - Société Ayad,2.894816713294196,2.0000000000000004,0.8948167132941958,2022-09-15,Service
2,5,2023,7,3233,36,5,PROTECTION  1273580-0000       - Société Gharbi,2.0138713887153816,2.0000000000000004,0.013871388715381183,2023-05-05,Matériel
2,2,2023,7,3003,36,15,FILTRE 90277-0355              - Société Gharbi,1.9005066811892632,1.0,0.9005066811892632,2023-02-15,Matériel
5,8,2023,60,438,182,15,650 kg acide                   - Société Younis,3.185766196226078,2.0000000000000004,1.1857661962260777,2023-08-15,Produit nettoyage
2,1,2022,7,1445,247,21,TIGE FILETEE INOX DIA 10       - Société Selmi,2.8412386411845687,5.0,2.1587613588154313,2022-01-21,Matériel
2,1,2023,7,1661,81,20,KIT 6-99041179                 - Société Belhadj,2.152146804639393,1.0,1.152146804639393,2023-01-20,Matériel
2,8,2023,7,2550,36,17,PNEU Plein AV 28X9-15          - Société Gharbi,2.1289732908676084,2.0000000000000004,0.128973290867608,2023-08-17,Matériel
6,10,2024,7,446,14,7,Transports sur Ventes CLN -BCH - Société Ben laabidi,3.7283587007779158,2.0000000000000004,1.7283587007779153,2024-10-07,Service
2,12,2022,7,2503,234,7,Roullement de moyeu roue       - Société Rached,2.37831619717071,3.999999999999999,1.6216838028292893,2022-12-07,Matériel
2,1,2022,7,2610,36,28,CECLIPS INOX 90141-0016RV      - Société Gharbi,1.5358557449172374,10.000000000000002,8.464144255082765,2022-01-28,Matériel
2,8,2023,7,2859,36,21,VOLUME FLAP 2982668-0000       - Société Gharbi,2.04391055850172,1.0,1.0439105585017199,2023-08-21,Matériel
2,4,2023,7,456,25,24,Bride DN65                     - Société Cherif,1.7606035378869813,1.0,0.7606035378869813,2023-04-24,Matériel
2,2,2023,7,3691,36,15,"Lock washer, Metal 315410-0103 - Société Gharbi",2.844543618623434,2.0000000000000004,0.8445436186234336,2023-02-15,Matériel
2,2,2022,7,3171,81,25,CAPTEUR DE PRESSION 90459-4810 - Société Belhadj,1.6578000580716479,1.0,0.6578000580716479,2022-02-25,Matériel
2,2,2023,7,3352,36,15,SEAL RING  1144665-0000        - Société Gharbi,2.476418589213923,1.0,1.4764185892139232,2023-02-15,Matériel
6,9,2023,7,446,14,7,Transports CLN- BOUCHARAY      - Société Ben laabidi,3.979080926540724,10.000000000000002,6.020919073459278,2023-09-07,Service
5,1,2023,60,1551,36,10,nettoyant pour carte electoniq - Société Gharbi,3.81023776139802,3.0,0.8102377613980201,2023-01-10,Produit nettoyage
7,4,2022,30,1540,36,18,FUEL LOURD N°2                 - Société Gharbi,2.2651784046681067,2.0000000000000004,0.26517840466810627,2022-04-18,Énergie/Carburant
6,4,2023,7,436,71,11,Réparation chariot CAT fourche - Société Yousfi,1.45206017573011,1.0,0.4520601757301099,2023-04-11,Service
2,9,2022,7,3486,36,9,plaque refroi. 1558831-0000    - Société Gharbi,1.6743350325307729,2.0000000000000004,0.3256649674692276,2022-09-09,Matériel
6,12,2024,7,447,26,11,OMRA 2024                      - Société Ben Mabrouk,2.8378944409412323,1.0,1.8378944409412323,2024-12-11,Service
2,1,2023,7,2804,36,17,1569518-0000 RV                - Société Gharbi,2.3121020557590817,1.0,1.3121020557590817,2023-01-17,Matériel
6,10,2022,7,438,98,14,Etude et prestation de service - Société Rim,1.2325920954743004,1.0,0.23259209547430038,2022-10-14,Service
6,8,2022,7,434,37,29,Réparation Palette             - Société Ayad,1.1295241333931378,1.0,0.12952413339313784,2022-08-29,Service
2,5,2022,7,4152,36,20,CAPTEUR XS630B1PAM12/ 36020    - Société Gharbi,1.7817096609511687,2.0000000000000004,0.21829033904883177,2022-05-20,Matériel
0,4,2022,30,464,34,19,Cartouches d'encre imprimante  - Société Amer,2.546473573168396,1.0,1.546473573168396,2022-04-19,Fourniture de bureau
6,6,2022,7,456,29,21,FRAIS DE PORT EA MOYEN         - Société Abid,1.2326255826850137,1.0,0.23262558268501365,2022-06-21,Service
6,5,2022,7,442,31,9, formation calcul              - Société Issaoui,1.3645389186253012,3.999999999999999,2.635461081374698,2022-05-09,Service
6,9,2022,7,439,30,8,Analyses physico               - Société Obaid,3.91837118922641,5.999999999999999,2.081628810773589,2022-09-08,Service
2,2,2022,7,3287,36,11,BUSE  D/INJECTION90439-0155    - Société Gharbi,3.0504890842238703,3.999999999999999,0.9495109157761288,2022-02-11,Matériel
2,2,2023,7,3003,81,28,FILTRE 90277-0355              - Société Belhadj,2.1043501765027752,1.0,1.1043501765027752,2023-02-28,Matériel
6,12,2022,7,436,37,9,REPARATION CHARIOT             - Société Ayad,1.0850813714267549,1.0,0.08508137142675487,2022-12-09,Service
2,2,2023,7,3031,81,28,BEAR.BUSH321116-0234 RV        - Société Belhadj,2.518500396969398,2.0000000000000004,0.5185003969693978,2023-02-28,Matériel
6,3,2022,7,480,30,2,analyse germes totaux mesophi  - Société Obaid,1.160900437838328,1.0,0.16090043783832808,2022-03-02,Service
2,3,2023,7,438,60,22,Housing TT                     - Société Ashour,2.3722921877814547,12.0,9.627707812218546,2023-03-22,Matériel
2,11,2023,7,4064,36,2,Dolly 1110083-0007             - Société Gharbi,1.788208752037383,2.0000000000000004,0.2117912479626174,2023-11-02,Matériel
0,1,2023,30,456,31,20,Trophée retraite               - Société Issaoui,1.9975948338799556,1.0,0.9975948338799556,2023-01-20,Fourniture de bureau
6,10,2022,7,439,82,29,etalonnage centrifugeuse       - Société Kilani,2.109345229341515,1.0,1.109345229341515,2022-10-29,Service
6,7,2022,7,436,505,4, Réparation congélateur resto  - Société Ayachi,1.1471868813812405,1.0,0.14718688138124048,2022-07-04,Service
4,1,2023,7,448,233,19,Eau minérale 90 CL             - Société Ben youssef,2.7159224858573316,2.0000000000000004,0.7159224858573312,2023-01-19,Produit matière première
2,9,2022,7,1660,36,7,JOINT TORIQUE A2172335         - Société Gharbi,2.158859523279689,5.999999999999999,3.84114047672031,2022-09-07,Matériel
6,1,2022,7,480,177,21,analyse physico chimique       - Société Saeed,3.1194601827905117,3.0,0.11946018279051174,2022-01-21,Service
4,11,2022,7,1543,137,2,TUBE DE GRAISSE KLUBER KSB 8   - Société Chahed,2.971895960263044,2.0000000000000004,0.9718959602630437,2022-11-02,Produit matière première
2,12,2022,7,2852,36,7,ROULEAU 282635-0000            - Société Gharbi,2.2579123398063836,1.0,1.2579123398063836,2022-12-07,Matériel
2,5,2022,7,590,33,5, ENCRIER BLEU 6/56 FORMA 3.5X6 - Société Nasr,2.29169254715818,2.0000000000000004,0.2916925471581795,2022-05-05,Matériel
2,10,2022,7,3033,36,18,RADIAL  SEAL90091-0436 RV      - Société Gharbi,2.17178491957887,3.999999999999999,1.828215080421129,2022-10-18,Matériel
2,2,2023,7,2551,276,22,PNEU 195 X 65X 15              - Société Salim,2.1951666602438635,3.999999999999999,1.8048333397561356,2023-02-22,Matériel
6,7,2022,7,452,32,4,Fact N° 20001848               - Société Maher,0.9719154103099379,1.0,0.02808458969006211,2022-07-04,Service
2,2,2023,7,3030,81,24,PARAHUILE 25*40*7/1498068-0000 - Société Belhadj,2.43868261017323,2.0000000000000004,0.43868261017322974,2023-02-24,Matériel
2,7,2022,7,3436,81,4,porte fusible 90600-4649       - Société Belhadj,1.9591923361779977,2.0000000000000004,0.04080766382200274,2022-07-04,Matériel
2,11,2022,7,1247,158,17,RACCORD DROIT QS 1/4-10        - Société Chtioui,3.462612409332956,2.0000000000000004,1.4626124093329556,2022-11-17,Matériel
2,3,2022,7,2459,164,31,Detecteur de niveau T FTS20    - Société Mahjoubi,2.4238520633107346,3.0,0.5761479366892654,2022-03-31,Matériel
2,9,2022,7,2218,36,9,Bearing bouching 6-4722535601  - Société Gharbi,2.569454804816625,5.999999999999999,3.4305451951833743,2022-09-09,Matériel
1,2,2022,60,521,97,25,GANT PLASTIQUE                 - Société Amal,2.0948373691094897,2.0000000000000004,0.09483736910948926,2022-02-25,Habillement
2,3,2022,7,2234,81,8,6-9611926618                   - Société Belhadj,2.3458988496927122,1.0,1.3458988496927122,2022-03-08,Matériel
2,6,2024,7,3934,36,13,SPACER 1260714-0000            - Société Gharbi,2.4773791527753857,3.999999999999999,1.5226208472246134,2024-06-13,Matériel
2,2,2023,7,2938,81,9,FLEXIBLE 90166-0161            - Société Belhadj,1.3429587750184941,1.0,0.34295877501849414,2023-02-09,Matériel
2,2,2023,7,3356,81,7,SPACER  2744234-0000           - Société Belhadj,1.663396629647739,1.0,0.6633966296477389,2023-02-07,Matériel
6,1,2022,7,481,369,3,Ayedi Wahiba Restau            - Société Abidi,1.0082823767929177,1.0,0.008282376792917656,2022-01-03,Service
0,8,2024,30,449,26,30,Coffret                        - Société Ben Mabrouk,3.0667798923614553,12.999999999999996,9.93322010763854,2024-08-30,Fourniture de bureau
2,8,2022,7,440,28,19,drill comprime                 - Société Mounir,2.2355781018595535,2.0000000000000004,0.23557810185955308,2022-08-19,Matériel
4,6,2022,7,696,183,8,AMIDON CL                      - Société Slama,2.3827785135205146,2.0000000000000004,0.3827785135205142,2022-06-08,Produit matière première
2,2,2023,7,3371,81,28,O-RING 13.3 X 2.4SILICONE      - Société Belhadj,1.7850378543027072,1.0,0.7850378543027072,2023-02-28,Matériel
2,3,2022,7,604,33,23,CATALYSEUR DE COMBUSTION CP 19 - Société Nasr,2.5192135519171472,2.0000000000000004,0.5192135519171468,2022-03-23,Matériel
2,2,2023,7,2336,36,15,KIT SEAM TRAP 90520-0401       - Société Gharbi,1.919063934544952,2.0000000000000004,0.08093606545504839,2023-02-15,Matériel
2,2,2023,7,3100,36,15,Radial seal90091-0298          - Société Gharbi,1.6645199120900869,1.0,0.6645199120900869,2023-02-15,Matériel
6,2,2023,7,438,188,13,Contrat schneider-2023         - Société Gasmi,1.8974681437749652,1.0,0.8974681437749652,2023-02-13,Service
6,12,2022,7,446,37,22,CLN- BCH                       - Société Ayad,2.76738107468492,2.0000000000000004,0.7673810746849195,2022-12-22,Service
6,12,2022,7,446,37,2,CLN-BCH-BAHR LAZEG             - Société Ayad,2.9478407922293415,2.0000000000000004,0.947840792229341,2022-12-02,Service
2,5,2023,7,2643,36,5,Non return valve527912-0000    - Société Gharbi,2.4223449608514906,2.0000000000000004,0.4223449608514902,2023-05-05,Matériel
2,2,2023,7,3735,81,25,Ball bearing 344227-0205       - Société Belhadj,2.1719347071405704,8.000000000000002,5.828065292859431,2023-02-25,Matériel
6,2,2023,7,2282,36,15,kit partie humide 6-9611920001 - Société Gharbi,2.3843236901689933,2.0000000000000004,0.3843236901689928,2023-02-15,Service
2,6,2024,7,3448,36,13,poulie 2952684-0000            - Société Gharbi,2.106517226607529,1.0,1.106517226607529,2024-06-13,Matériel
6,5,2024,7,439,8,23,analyse bact de surface        - Société Ben labher,2.7399320952938564,10.000000000000002,7.260067904706146,2024-05-23,Service
2,2,2023,7,3764,81,28,Impeller wheel 3637792-0000    - Société Belhadj,1.8806263608652682,1.0,0.8806263608652682,2023-02-28,Matériel
2,3,2022,7,4227,36,18,Bushing321133-0180             - Société Gharbi,3.5632551405672572,3.999999999999999,0.4367448594327419,2022-03-18,Matériel
2,2,2023,7,4227,36,15,Bushing321133-0180             - Société Gharbi,3.1054761559723785,2.0000000000000004,1.105476155972378,2023-02-15,Matériel
7,9,2023,30,1540,36,22,FUEL LOURD N°2                 - Société Gharbi,2.208679191336734,2.0000000000000004,0.20867919133673363,2023-09-22,Énergie/Carburant
2,2,2023,7,2633,36,15,AXE 752186-0014                - Société Gharbi,2.749059508341445,5.999999999999999,3.2509404916585543,2023-02-15,Matériel
4,5,2022,7,598,81,16,AGENTS MOUILLANT 90349-0003    - Société Belhadj,1.9825880455687437,2.0000000000000004,0.01741195443125676,2022-05-16,Produit matière première
3,3,2022,60,699,49,11,EMB. CRÈME DOSETTE TC100       - Société Riahi,2.6573350983118136,2.0000000000000004,0.6573350983118131,2022-03-11,Produit emballage
6,12,2022,7,436,327,20,Changement  raccordement carte - Société Amor,1.351611117359722,1.0,0.35161111735972206,2022-12-20,Service
2,7,2024,7,436,23,11,garniture agitateur            - Société Ben chaouech,1.2894562268617955,1.0,0.2894562268617955,2024-07-11,Matériel
6,1,2022,7,475,67,3,transfert agba                 - Société Nasri,1.543184682645578,1.0,0.543184682645578,2022-01-03,Service
2,8,2023,7,1384,36,2,POMPE Hydraulique HC           - Société Gharbi,3.1723214564299367,1.0,2.1723214564299367,2023-08-02,Matériel
2,9,2022,7,2820,36,9,DETECTEUR DE FLUX90459-0711    - Société Gharbi,1.8425280692154766,2.0000000000000004,0.15747193078452382,2022-09-09,Matériel
2,4,2022,7,2478,124,21,GALET  ROUE 85x110x115x25      - Société Ahlem,2.7496206044822484,5.999999999999999,3.2503793955177507,2022-04-21,Matériel
2,10,2022,7,3460,81,10,vase d'expontion 1511497-0000  - Société Belhadj,1.5371654789168372,2.0000000000000004,0.46283452108316325,2022-10-10,Matériel
6,3,2023,7,436,25,9,Réparation moteur SEW eurodriv - Société Cherif,1.4845289845971905,1.0,0.4845289845971905,2023-03-09,Service
2,10,2022,7,1572,247,11,DISQUE FIN INOX A 60           - Société Selmi,3.007908283069473,2.0000000000000004,1.0079082830694728,2022-10-11,Matériel
5,6,2023,60,591,166,22,PEROXYDE AG BATH 35            - Société Hamouda,2.229543635291435,2.0000000000000004,0.22954363529143462,2023-06-22,Produit nettoyage
2,6,2023,7,2116,49,16,Soupape décharge 6-4722654201  - Société Riahi,2.1781127929853663,1.0,1.1781127929853663,2023-06-16,Matériel
6,5,2023,7,439,8,19,Analyses des vitamine          - Société Ben labher,2.520506812099592,1.0,1.5205068120995922,2023-05-19,Service
2,8,2023,7,2865,36,21,STOP 1478396-0000              - Société Gharbi,2.04391055850172,2.0000000000000004,0.04391055850171943,2023-08-21,Matériel
2,8,2022,7,3379,36,10,VERIN 1294966-0000/90603-7721  - Société Gharbi,1.656226664488552,2.0000000000000004,0.3437733355114485,2022-08-10,Matériel
4,11,2024,7,436,23,27, colle Tangit                  - Société Ben chaouech,2.577800503486335,1.0,1.5778005034863352,2024-11-27,Produit matière première
2,2,2023,7,3096,81,20,Stop pin2809846-0000           - Société Belhadj,1.4337298840626027,1.0,0.4337298840626027,2023-02-20,Matériel
4,6,2023,7,459,463,5,Caséinate de sodium            - Société Ben zarrouk,2.304981488421475,2.0000000000000004,0.30498148842147454,2023-06-05,Produit matière première
6,6,2022,7,436,121,21,lavage tenue de travail        - Société Hamdy,1.2409486971975068,1.0,0.24094869719750678,2022-06-21,Service
2,1,2023,7,3370,36,17,SPACER 2563762-0000            - Société Gharbi,1.523708871092837,1.0,0.523708871092837,2023-01-17,Matériel
2,2,2023,7,3028,36,15,BALL 321308-0205 /344224-0205  - Société Gharbi,2.4852771372017477,1.0,1.4852771372017477,2023-02-15,Matériel
2,5,2022,7,4046,81,4,SERVOMOT 90459-4534            - Société Belhadj,1.7116527951584914,1.0,0.7116527951584914,2022-05-04,Matériel
2,7,2022,7,2500,234,15,MAITRE CYLINDRE  CHARIOT CAT   - Société Rached,2.0596443777023343,1.0,1.0596443777023343,2022-07-15,Matériel
2,3,2023,7,436,20,27,50 KG fils ligature            - Société Ben hajji,2.1340590787063127,2.0000000000000004,0.13405907870631228,2023-03-27,Matériel
2,1,2023,7,2777,36,17,DIAPH 533169-0000/2826443-0000 - Société Gharbi,2.218106776234887,1.0,1.2181067762348872,2023-01-17,Matériel
6,7,2022,7,456,247,7,alimentation selon model       - Société Selmi,1.506486149308663,1.0,0.506486149308663,2022-07-07,Service
2,12,2022,7,1373,78,26,CLE A PIPE DE 19               - Société Belgacem,1.2324663144171892,1.0,0.23246631441718923,2022-12-26,Matériel
2,3,2023,7,1329,36,31,ROULSKF 6202.ZZ                - Société Gharbi,6.380022062357268,5.999999999999999,0.380022062357269,2023-03-31,Matériel
6,11,2022,7,2012,48,21,KIT CLAP VAN DCX3 D.63 7070610 - Société Messaoud,2.263295060324741,2.0000000000000004,0.2632950603247406,2022-11-21,Service
2,1,2023,7,2315,81,20,Jeu de PDR 90512-3933          - Société Belhadj,1.6925172260430665,1.0,0.6925172260430665,2023-01-20,Matériel
6,1,2022,7,499,25,17,Mobilisation du camion         - Société Cherif,1.537507012256965,1.0,0.537507012256965,2022-01-17,Service
6,11,2023,7,436,63,10,Rebobinnage moteur ABB 15 KW   - Société Abdallah,1.2513578988451992,1.0,0.2513578988451992,2023-11-10,Service
4,6,2022,7,579,373,10,Fut mono-propylène Glucol 200L - Société Ines,2.2450083716628852,2.0000000000000004,0.2450083716628848,2022-06-10,Produit matière première
6,5,2022,7,438,39,23,bon de livraison               - Société Hamzaoui,1.412411614590726,2.0000000000000004,0.5875883854092745,2022-05-23,Service
2,2,2023,7,3010,81,9,BEARINGSEAL  90091-0408RV      - Société Belhadj,1.81649177444213,2.0000000000000004,0.18350822555787039,2023-02-09,Matériel
0,12,2023,30,456,181,13,ROUTEUR POINT ACCES WIFI       - Société Khadraoui,2.6113554881230394,1.0,1.6113554881230394,2023-12-13,Fourniture de bureau
6,10,2023,7,448,428,5,Fact N° 36/2023                - Société Mehdi,1.2637387116690872,1.0,0.26373871166908724,2023-10-05,Service
5,8,2024,60,593,33,23,DEPTAL  HW                     - Société Nasr,2.15039447558409,2.0000000000000004,0.15039447558408936,2024-08-23,Produit nettoyage
2,7,2024,7,247,21,12,Matériel Informatique Site     - Société Ben naser,1.3595407905829755,1.0,0.3595407905829755,2024-07-12,Matériel
6,8,2023,7,444,471,9,Sponsoring univers news        - Société Ben khaled,1.185219706601477,1.0,0.1852197066014769,2023-08-09,Service
2,6,2023,7,2057,49,16,STEAM TRAP TYPE BPT13          - Société Riahi,2.5182370180680573,1.0,1.5182370180680573,2023-06-16,Matériel
2,2,2023,7,2741,36,15,COURROIE GT3  550MGT           - Société Gharbi,2.2508717403469047,2.0000000000000004,0.2508717403469043,2023-02-15,Matériel
2,6,2022,7,3371,36,30,O-RING 13.3 X 2.4SILICONE      - Société Gharbi,1.8319979114383007,2.0000000000000004,0.16800208856169974,2022-06-30,Matériel
2,8,2023,7,436,25,21,"raccord FF1""                   - Société Cherif",3.465977949936506,5.999999999999999,2.534022050063493,2023-08-21,Matériel
2,1,2023,7,2582,36,17,COUTEAU 1348955-0000 RV        - Société Gharbi,1.8203818875861035,2.0000000000000004,0.1796181124138969,2023-01-17,Matériel
6,12,2022,7,429,44,9,PRESTATION GASOIL              - Société Ammar,0.8860013575047316,1.0,0.11399864249526837,2022-12-09,Service
4,12,2022,7,1539,234,1,HUILE HYDRAULIQUE              - Société Rached,2.2160387429655395,2.0000000000000004,0.21603874296553904,2022-12-01,Produit matière première
6,9,2023,7,439,82,12,etalonnage ph metre            - Société Kilani,2.007023109980847,2.0000000000000004,0.0070231099808464315,2023-09-12,Service
2,9,2023,7,153,27,4,Système Réchauffeur            - Société Ben salhi,1.0991269329481952,1.0,0.09912693294819519,2023-09-04,Matériel
2,8,2023,7,843,469,17,Sonde sentix 41 WTW            - Société Ben zorgui,2.3652365422439003,5.999999999999999,3.6347634577560988,2023-08-17,Matériel
2,12,2023,7,2587,36,25,RONDELLE INOX 2033-0011        - Société Gharbi,2.2689891960070896,2.0000000000000004,0.26898919600708915,2023-12-25,Matériel
6,11,2022,7,448,428,16,Fact N°01/2022                 - Société Mehdi,1.1562239214955206,1.0,0.15622392149552056,2022-11-16,Service
7,3,2022,30,1540,36,17,FUEL LOURD N°2                 - Société Gharbi,2.3427601749851084,2.0000000000000004,0.3427601749851079,2022-03-17,Énergie/Carburant
6,1,2024,7,433,26,4,Location VOITURE RH            - Société Ben Mabrouk,2.3605057488075603,2.0000000000000004,0.3605057488075598,2024-01-04,Service
0,9,2024,30,595,33,13,NK CARTRIDGE 2BK009I           - Société Nasr,3.4688460534947243,5.999999999999999,2.531153946505275,2024-09-13,Fourniture de bureau
7,10,2022,30,1540,36,18,FUEL LOURD N°2                 - Société Gharbi,2.107802551740735,2.0000000000000004,0.10780255174073439,2022-10-18,Énergie/Carburant
6,2,2023,7,438,505,10,Instérilité ligne 1            - Société Ayachi,1.9937050952738193,1.0,0.9937050952738193,2023-02-10,Service
2,8,2023,7,440,6,4,sparadrap strips               - Société Ben nasro,1.9046019046050815,2.0000000000000004,0.09539809539491895,2023-08-04,Matériel
2,12,2022,7,1814,36,6,GROUPE MOTOPOMPE FUEL TYPE1629 - Société Gharbi,2.413932331995377,1.0,1.413932331995377,2022-12-06,Matériel
2,3,2023,7,4217,81,4,Couvercle2541648-0000          - Société Belhadj,1.580058831119325,1.0,0.5800588311193251,2023-03-04,Matériel
2,2,2023,7,2695,36,15,90240-0223                     - Société Gharbi,2.6090716504666807,3.999999999999999,1.3909283495333185,2023-02-15,Matériel
7,2,2023,30,429,44,10,Carburants                     - Société Ammar,1.3817570471252418,2.0000000000000004,0.6182429528747586,2023-02-10,Énergie/Carburant
7,7,2023,30,1524,36,31,FREON R22                      - Société Gharbi,2.274214230802995,2.0000000000000004,0.2742142308029947,2023-07-31,Énergie/Carburant
2,4,2023,7,2579,36,18,VOLUME SHIM 1000B1035831-0000  - Société Gharbi,1.9599046365137767,3.999999999999999,2.0400953634862224,2023-04-18,Matériel
2,2,2023,7,3724,81,8,Gasket.40MP1Silicon342850-0303 - Société Belhadj,2.81668439534284,2.0000000000000004,0.8166843953428398,2023-02-08,Matériel
2,10,2024,7,456,180,2,pelle poussière 330mm          - Société Mahmoudi,2.802368847992762,1.0,1.8023688479927622,2024-10-02,Matériel
6,1,2023,7,440,289,10,Fact N° 22015353               - Société Tounsi,2.4873337062654564,1.0,1.4873337062654564,2023-01-10,Service
6,1,2022,7,482,44,10,FA21/238457                    - Société Ammar,1.710123166720726,1.0,0.710123166720726,2022-01-10,Service
2,2,2023,7,3261,81,27,DOUILLE  1538726-0000          - Société Belhadj,2.734841411500845,2.0000000000000004,0.7348414115008444,2023-02-27,Matériel
6,12,2022,7,438,117,20,EXPORT                         - Société Soussi,1.1525199622529199,1.0,0.15251996225291986,2022-12-20,Service
6,1,2022,7,480,30,18,analyse physico chimique       - Société Obaid,2.876195934930977,3.0,0.12380406506902286,2022-01-18,Service
1,6,2023,60,337,452,5,Pantalon blanc homme/femme 42  - Société Ben marzouk,4.079444080430123,2.0000000000000004,2.079444080430122,2023-06-05,Habillement
6,12,2024,7,240,27,24,MAN Installation frigorifique  - Société Ben salhi,1.1668847423380084,1.0,0.16688474233800843,2024-12-24,Service
2,3,2022,7,3334,81,21,1129274-0000                   - Société Belhadj,1.909644509364699,2.0000000000000004,0.09035549063530146,2022-03-21,Matériel
2,2,2023,7,3743,36,15,Screw Bushing 3477495-0000     - Société Gharbi,2.051587565014765,8.000000000000002,5.9484124349852365,2023-02-15,Matériel
7,2,2022,30,1540,69,15,FUEL LOURD N°2                 - Société Saadaoui,2.3769006060464157,2.0000000000000004,0.3769006060464153,2022-02-15,Énergie/Carburant
2,12,2023,7,102,27,25,Echangeur plaques groupe NH3-2 - Société Ben salhi,1.4314271113672214,1.0,0.43142711136722145,2023-12-25,Matériel
6,9,2023,7,439,177,19,Controle de performance PCA    - Société Saeed,1.5133192904882926,1.0,0.5133192904882926,2023-09-19,Service
