N°commande,Code article,Article ,Type article,Quantité,UM,Date commande,Date réception,conformité,Code Fournisseur,Nom Fournisseur,adresse,Coût unitaire,Taux de conformité (%),Nombre de commandes,Respect_délais,Taux de Respect (%),Score,Catégorie,Mois,Année
22000044,MCFRB0019                ,CAHIER REGISTRE 200 PAGES     ,Fourniture de bureau,5.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Gabès,5900.0,100.0,89,1,100.0,7.010844119184677,Moyen,2,2022
22000044,MCFRB0052                ,CHRONO MAPEX (2 ANNEAUX)      ,Fourniture de bureau,10.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Medenine,5900.0,100.0,89,1,100.0,7.010844119184677,Moyen,2,2022
22000044,MCFRB0001                ,AGRAFEUSE GM                  ,Fourniture de bureau,6.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Tozeur,45000.0,100.0,89,1,100.0,7.01054963703566,Moyen,2,2022
22000044,MCFRB0010                ,BOITE ARCHIVE MAPEX PM        ,Fourniture de bureau,2.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Monastir,3146.0,100.0,89,1,100.0,7.011140719476527,Moyen,2,2022
22000044,MCFRB0020                ,CAHIER REGISTRE 400 PAGES     ,Fourniture de bureau,6.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Kairouan,10900.0,100.0,89,1,100.0,7.010688662985324,Moyen,2,2022
22000044,MCFRB0102                ,PAQUET AGRAPHE 24/6           ,Fourniture de bureau,15.0,PA,2022-02-23,2022-02-25,1,5005814,Société Sassi,Zaghouan,48.5,100.0,89,1,100.0,7.050909233982888,Moyen,2,2022
22000044,MCFRB0057                ,CORRECTEUR BLANCO             ,Fourniture de bureau,4.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Sidi Bouzid,1890.0,100.0,89,1,100.0,7.011562835038393,Moyen,2,2022
22000044,MCFRB0171                ,TUBE A COLLE                  ,Fourniture de bureau,3.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Ben Arous,3200.0,100.0,89,1,100.0,7.011129998327363,Moyen,2,2022
22000044,MCFRB0112                ,PERFORATRICE (2 ANNEAUX)      ,Fourniture de bureau,3.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Tozeur,14600.0,100.0,89,1,100.0,7.010642170498237,Moyen,2,2022
22000044,MCFRB0146                ,ROULEAU SCOTCH PM             ,Fourniture de bureau,5.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Jendouba,540.0,100.0,89,1,100.0,7.014202051249827,Moyen,2,2022
22000044,MCFRB0058                ,CRAYON NOIR                   ,Fourniture de bureau,3.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Manouba,199.0,100.0,89,1,100.0,7.020505193578847,Moyen,2,2022
22000044,MCFRB0130                ,REGLE 30 CM                   ,Fourniture de bureau,2.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Bizerte,790.0,100.0,89,1,100.0,7.013033638585169,Moyen,2,2022
22000044,MCFRB0157                ,STYLO NOIR                    ,Fourniture de bureau,11.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Béja,385.0,100.0,89,1,100.0,7.0156865407291065,Moyen,2,2022
22000044,MCFRB0152                ,STABILO (MARQUEUR FLUO)       ,Fourniture de bureau,4.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Ariana,7150.0,100.0,89,1,100.0,7.0107848747423205,Moyen,2,2022
22000044,MCFRB0007                ,BLOC NOTE GM 21!27            ,Fourniture de bureau,5.0,UN,2022-02-23,2022-02-25,1,5005814,Société Sassi,Ariana,2720.0,100.0,89,1,100.0,7.011240217467124,Moyen,2,2022
22000044,MCFRB0263                ,PARAPHEUR DE24                ,Fourniture de bureau,5.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Gafsa,11150.0,100.0,89,1,100.0,7.010684549690406,Moyen,2,2022
22000044,M23501084                ,Boîte à Tampon Bleu           ,Fourniture de bureau,1.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Tunis,2300.0,100.0,89,1,100.0,7.011374380888713,Moyen,2,2022
22000044,M23501091                ,ENCRE BLEUE                   ,Fourniture de bureau,1.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Zaghouan,890.0,100.0,89,1,100.0,7.012749862490183,Moyen,2,2022
22000044,M23501095                ,ENCRE ROUGE                   ,Fourniture de bureau,2.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Monastir,1490.0,100.0,89,1,100.0,7.01184657520192,Moyen,2,2022
22000044,M23501163                ,STYLO ROUGE                   ,Fourniture de bureau,5.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Kasserine,385.0,100.0,89,1,100.0,7.0156865407291065,Moyen,2,2022
22000044,M23501212                ,MARQUEUR BLEU                 ,Fourniture de bureau,5.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Béja,1590.0,100.0,89,1,100.0,7.011762264603361,Moyen,2,2022
22000044,M23501165                ,GOMME                         ,Fourniture de bureau,2.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Kasserine,420.0,100.0,89,1,100.0,7.015255787403075,Moyen,2,2022
22000044,M23501214                ,MARQUEUR ROUGE                ,Fourniture de bureau,5.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Manouba,1590.0,100.0,89,1,100.0,7.011762264603361,Moyen,2,2022
22000044,M23501224                ,STYLO A BILLE VERT            ,Fourniture de bureau,1.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Tunis,385.0,100.0,89,1,100.0,7.0156865407291065,Moyen,2,2022
22000044,M23501229                ,TRAMBONNE GEANT               ,Fourniture de bureau,1.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Siliana,2200.0,100.0,89,1,100.0,7.011413871452541,Moyen,2,2022
22000044,M23501232                ,ARRACHE AGRAFFE               ,Fourniture de bureau,5.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Ariana,1490.0,100.0,89,1,100.0,7.01184657520192,Moyen,2,2022
22000044,M23501210                ,INTERCALAIRE EN PLASTIC       ,Fourniture de bureau,10.0,PI,2022-02-23,2022-02-25,1,5005814,Société Sassi,Ben Arous,129.0,100.0,89,1,100.0,7.025889808963463,Moyen,2,2022
22000044,HSDR0009                 ,FA21/238457                   ,Service,1.0,LT,2022-01-18,2022-01-30,1,5005337,Société Ammar,Tataouine,52041.0,77.93103448275862,145,1,100.0,6.134395012830507,Moyen,1,2022
22000044,HSDT0023                 ,Bande SF en PVC blanche 3250  ,Produit emballage,1.0,UN,2022-01-10,2022-01-18,0,550737,Société Cherif,Monastir,0.0,89.84509466437177,581,1,86.40275387263338,8.254465250723655,Très Fiable,1,2022
22000044,HSDT0023                 ,Bande SF en PVC blanche 3140  ,Produit emballage,1.0,UN,2022-01-10,2022-01-30,0,550737,Société Cherif,Sfax,0.0,89.84509466437177,581,0,86.40275387263338,8.254465250723655,Très Fiable,1,2022
22000045,HSDQ0009                 ,kit pompe d'evacuation benthle,Matériel,1.0,UN,2022-01-18,2022-01-22,1,5006688,Société Salem,Gafsa,2209660.0,100.0,21,1,85.71428571428571,6.573908230085862,Moyen,1,2022
22000045,HSDQ0009                 ,reactifs enzymatique bentley  ,Produit matière première,1.0,UN,2022-01-18,2022-01-22,1,5006688,Société Salem,Bizerte,2071920.0,100.0,21,1,85.71428571428571,6.5739082902574175,Moyen,1,2022
22000045,P9523039                 ,regulateur ta5-ta7 / 9-27723  ,Matériel,1.0,PC,2022-01-11,2022-01-18,1,5005182,Société Gharbi,Jendouba,1141626.0,72.14353163361662,8472,1,99.9409820585458,6.883972478986723,Moyen,1,2022
22000045,P9523067                 ,VANNE SW DN15 +KIT MOT        ,Matériel,1.0,PC,2022-01-11,2022-01-14,0,5005182,Société Gharbi,Siliana,0.0,72.14353163361662,8472,1,99.9409820585458,8.883970727101037,Très Fiable,1,2022
22000046,HSDQ0009                 ,Maintenance Dairy spec        ,Service,1.0,UN,2022-01-18,2022-01-22,1,5006688,Société Salem,Medenine,5466625.0,100.0,21,1,85.71428571428571,6.573907690826028,Moyen,1,2022
22000074,HSDR0007                 ,Abidi Med Forfait Octobre 2021,Service,1.0,UN,2022-01-27,2022-02-10,1,5007214,Société Arfaoui,Mahdia,2500000.0,100.0,9,1,100.0,7.0010631229458555,Moyen,1,2022
22000075,HSDR0007                 ,Ayedi Wahiba Restau           ,Service,1.0,UN,2022-01-27,2022-02-10,1,5007441,Société Abidi,Manouba,403600.0,100.0,35,1,100.0,7.004136211290902,Moyen,1,2022
22000075,P5190005                 ,TIGE FILETEE INOX DIA 6       ,Matériel,5.0,PI,2022-01-14,2022-01-21,1,5005182,Société Gharbi,Ben Arous,4562.2,72.14353163361662,8472,1,99.9409820585458,6.884409016021094,Moyen,1,2022
22000075,P5190010                 ,TIGE FILETEE INOX DIA 10      ,Matériel,5.0,PI,2022-01-14,2022-01-21,1,5005182,Société Gharbi,Ariana,11252.0,72.14353163361662,8472,1,99.9409820585458,6.884148457484046,Moyen,1,2022
22000075,P5190013                 ,TIGE FILETEE INOX DIA 12      ,Matériel,5.0,PI,2022-01-14,2022-01-21,1,5005182,Société Gharbi,Béja,17746.4,72.14353163361662,8472,1,99.9409820585458,6.884083419664455,Moyen,1,2022
22000075,P5190017                 ,TIGE FILETEE INOX DIA 16      ,Matériel,5.0,PI,2022-01-14,2022-01-21,1,5005182,Société Gharbi,Sfax,32848.0,72.14353163361662,8472,1,99.9409820585458,6.88403161175506,Moyen,1,2022
22000075,P5190020                 ,TIGE FILETEE INOX DIA 20      ,Matériel,5.0,PI,2022-01-14,2022-01-21,1,5005182,Société Gharbi,Sfax,46389.0,72.14353163361662,8472,1,99.9409820585458,6.884013839840852,Moyen,1,2022
22000075,P5190021                 ,TIGE  FILTE   DIA18INOX       ,Matériel,5.0,PI,2022-01-14,2022-01-23,0,5005182,Société Gharbi,Siliana,0.0,72.14353163361662,8472,0,99.9409820585458,8.883970727101037,Très Fiable,1,2022
22000076,HSDR0007                 ,ABIDI Med Divers Septembre/21 ,Service,1.0,UN,2022-01-27,2022-02-10,1,5007214,Société Arfaoui,Monastir,654600.0,100.0,9,1,100.0,7.001065378242455,Moyen,1,2022
22000076,P9559002                 ,GARNITURE MECANIQUEBURGMAN    ,Matériel,3.0,PI,2022-01-17,2022-01-22,1,5005182,Société Gharbi,Sidi Bouzid,183900.0,72.14353163361662,8472,1,99.9409820585458,6.883981602517702,Moyen,1,2022
22000077,MLAB0253                 ,Substrat Di sodium p-nitrophen,Produit matière première,1.0,PI,2022-04-06,2022-04-20,1,5005793,Société Mansour,Mahares,550000.0,100.0,118,1,100.0,7.013931870540215,Moyen,4,2022
22000077,HSDR0007                 ,ABIDI Med Garde National SEPT ,Service,1.0,UN,2022-01-27,2022-02-10,1,5007214,Société Arfaoui,Siliana,270000.0,100.0,9,1,100.0,7.001069730326148,Moyen,1,2022
22000078,HSDQ0009                 ,analyse stabilité lait UHT    ,Service,1.0,UN,2022-01-27,2022-01-31,1,5006970,Société Omar,Mahdia,20000.0,84.375,32,1,72.72727272727273,5.560695325071501,Moyen,1,2022
22000114,MCFRB0098                ,PAIRE DE CISEAUX              ,Fourniture de bureau,6.0,UN,2022-05-23,2022-05-30,1,5005814,Société Sassi,Kébili,1850.0,100.0,89,1,100.0,7.011585690607481,Moyen,5,2022
22000114,MCFRB0019                ,CAHIER REGISTRE 200 PAGES     ,Fourniture de bureau,13.0,UN,2022-05-23,2022-05-30,1,5005814,Société Sassi,Ariana,5900.0,100.0,89,1,100.0,7.010844119184677,Moyen,5,2022
22000114,MCFRB0001                ,AGRAFEUSE GM                  ,Fourniture de bureau,10.0,UN,2022-05-23,2022-05-30,1,5005814,Société Sassi,Bizerte,45000.0,100.0,89,1,100.0,7.01054963703566,Moyen,5,2022
22000114,MCFRB0020                ,CAHIER REGISTRE 400 PAGES     ,Fourniture de bureau,7.0,UN,2022-05-23,2022-05-30,1,5005814,Société Sassi,Gabès,10900.0,100.0,89,1,100.0,7.010688662985324,Moyen,5,2022
22000114,MCFRB0057                ,CORRECTEUR BLANCO             ,Fourniture de bureau,12.0,UN,2022-05-23,2022-05-30,1,5005814,Société Sassi,Mahares,1890.0,100.0,89,1,100.0,7.011562835038393,Moyen,5,2022
22000114,MCFRB0171                ,TUBE A COLLE                  ,Fourniture de bureau,8.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Nabeul,3200.0,100.0,89,1,100.0,7.011129998327363,Moyen,5,2022
22000114,MCFRB0146                ,ROULEAU SCOTCH PM             ,Fourniture de bureau,5.0,UN,2022-05-23,2022-05-30,1,5005814,Société Sassi,Sidi Bouzid,540.0,100.0,89,1,100.0,7.014202051249827,Moyen,5,2022
22000114,MCFRB0058                ,CRAYON NOIR                   ,Fourniture de bureau,6.0,UN,2022-05-23,2022-05-30,1,5005814,Société Sassi,Monastir,199.0,100.0,89,1,100.0,7.020505193578847,Moyen,5,2022
22000114,MCFRB0130                ,REGLE 30 CM                   ,Fourniture de bureau,5.0,UN,2022-05-23,2022-05-30,1,5005814,Société Sassi,Kasserine,790.0,100.0,89,1,100.0,7.013033638585169,Moyen,5,2022
22000114,MCFRB0152                ,STABILO (MARQUEUR FLUO)       ,Fourniture de bureau,8.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Kairouan,7150.0,100.0,89,1,100.0,7.0107848747423205,Moyen,5,2022
22000114,MCFRB0007                ,BLOC NOTE GM 21!27            ,Fourniture de bureau,6.0,UN,2022-05-23,2022-05-30,1,5005814,Société Sassi,Monastir,2720.0,100.0,89,1,100.0,7.011240217467124,Moyen,5,2022
22000114,MCFRB0263                ,PARAPHEUR DE24                ,Fourniture de bureau,4.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Mahdia,11150.0,100.0,89,1,100.0,7.010684549690406,Moyen,5,2022
22000114,M23501084                ,Boîte à Tampon Bleu           ,Fourniture de bureau,1.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Tunis,2300.0,100.0,89,1,100.0,7.011374380888713,Moyen,5,2022
22000114,M23501091                ,ENCRE BLEUE                   ,Fourniture de bureau,1.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Tataouine,890.0,100.0,89,1,100.0,7.012749862490183,Moyen,5,2022
22000114,M23501163                ,STYLO ROUGE                   ,Fourniture de bureau,15.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Siliana,385.0,100.0,89,1,100.0,7.0156865407291065,Moyen,5,2022
22000114,M23501165                ,GOMME                         ,Fourniture de bureau,3.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Siliana,420.0,100.0,89,1,100.0,7.015255787403075,Moyen,5,2022
22000114,M23501224                ,STYLO A BILLE VERT            ,Fourniture de bureau,11.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Nabeul,385.0,100.0,89,1,100.0,7.0156865407291065,Moyen,5,2022
22000114,M23501232                ,ARRACHE AGRAFFE               ,Fourniture de bureau,1.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Nabeul,1490.0,100.0,89,1,100.0,7.01184657520192,Moyen,5,2022
22000114,M23501199                ,Boîte à Tampon Rouge          ,Fourniture de bureau,1.0,PI,2022-05-23,2022-05-30,1,5005814,Société Sassi,Medenine,2300.0,100.0,89,1,100.0,7.011374380888713,Moyen,5,2022
22000005,HSDLI003                 ,transfert delisso et lait go  ,Service,18.0,UN,2022-01-03,2022-01-05,1,5005795,Société Nasri,Sidi Bouzid,425000.0,100.0,109,1,100.0,7.0128706171082955,Moyen,1,2022
22000005,HSDQ0009                 ,audit de surveillance 12 mois ,Service,1.0,UN,2022-01-04,2022-01-09,0,5005112,Société Abid,Jendouba,0.0,70.77922077922078,154,1,98.7012987012987,7.810385318175687,Moyen,1,2022
22000006,HSDLI003                 ,transport batterie pour repara,Service,1.0,UN,2022-01-03,2022-01-05,1,5007311,Société Hamza,Mahdia,250000.0,100.0,75,1,94.66666666666667,6.848860691186132,Moyen,1,2022
22000006,HSDL0007                 ,travaux de poinçonnage        ,Service,1.0,UN,2022-01-04,2022-01-10,0,5006901,Société Aloui,Béja,0.0,41.66666666666667,12,1,100.0,6.668083097261568,Moyen,1,2022
22000007,HSDLI003                 ,transfert agba                ,Service,1.0,UN,2022-01-03,2022-01-05,1,5005795,Société Nasri,Kasserine,451000.0,100.0,109,1,100.0,7.0128703458169825,Moyen,1,2022
22000007,HSDL0007                 ,Cartouche imprimante          ,Fourniture de bureau,2.0,UN,2022-01-04,2022-01-10,0,5006901,Société Aloui,Béja,0.0,41.66666666666667,12,1,100.0,6.668083097261568,Moyen,1,2022
22000034,HSDT0023                 ,Confection piéces Bertolino   ,Service,1.0,UN,2022-01-14,2022-01-20,1,5006449,Société Khalifa,Tataouine,1435410.0,100.0,32,1,95.95588235294117,6.882455012170462,Moyen,1,2022
22000034,P9553064                 ,TAMPON POUR ACCOUPLEMENTB125  ,Matériel,16.0,PI,2022-01-10,2022-01-17,1,5005182,Société Gharbi,Monastir,12934.375,72.14353163361662,8472,1,99.9409820585458,6.884125341868681,Moyen,1,2022
22000035,HSDT0017                 ,forfait contrat de maintenance,Service,1.0,UN,2022-01-14,2022-01-20,1,5006284,Société Souissi,Béja,14700000.0,100.0,3,1,100.0,7.000354243703137,Moyen,1,2022
22000035,P9521068                 ,Garniture mec. pompe gavage   ,Matériel,1.0,PI,2022-01-10,2022-01-17,1,5005182,Société Gharbi,Kairouan,1179914.0,72.14353163361662,8472,1,99.9409820585458,6.883972422138393,Moyen,1,2022
22000063,HSDT0522                 ,EAUX                          ,Produit matière première,1.0,UN,2022-01-21,2022-01-30,1,5005714,Société Bouaziz,Monastir,40603000.0,100.0,3,1,100.0,7.000354156906168,Moyen,1,2022
22000063,P5190016                 ,TIGE FILETEE GALVANISEEDIA 16 ,Matériel,15.0,PI,2022-01-13,2022-01-16,0,5005182,Société Gharbi,Béja,0.0,72.14353163361662,8472,1,99.9409820585458,8.883970727101037,Très Fiable,1,2022
22000063,P5190018                 ,TIGE FILETEEEN FER DIA 18     ,Matériel,15.0,PI,2022-01-13,2022-01-30,0,5005182,Société Gharbi,Nabeul,0.0,72.14353163361662,8472,0,99.9409820585458,8.883970727101037,Très Fiable,1,2022
22000064,HSDT0083                 ,transport des eaux usées      ,Service,13.0,UN,2022-01-21,2022-05-09,1,5006848,Société Triki,Tozeur,160000.0,100.0,11,0,72.72727272727273,6.183129076452049,Moyen,1,2022
22000064,HSDT0083                 ,Mobilisation du camion        ,Service,4.0,UN,2022-01-21,2022-05-09,1,5006848,Société Triki,Gabès,140000.0,100.0,11,0,72.72727272727273,6.18313086214242,Moyen,1,2022
22000064,P6212002                 ,CHARGE ARGON                  ,Énergie/Carburant,12.0,PI,2022-01-14,2022-01-20,1,5005182,Société Gharbi,Mahares,187000.0,72.14353163361662,8472,1,99.9409820585458,6.8839814222310105,Moyen,1,2022
22000064,P6212003                 ,CHARGE AZOTE                  ,Énergie/Carburant,8.0,PI,2022-01-14,2022-01-20,1,5005182,Société Gharbi,Nabeul,50805.0,72.14353163361662,8472,1,99.9409820585458,6.884010092530318,Moyen,1,2022
22000064,P6212004                 ,CHARGE OXYGENE                ,Énergie/Carburant,1.0,PI,2022-01-14,2022-01-20,1,5005182,Société Gharbi,Ariana,52815.0,72.14353163361662,8472,1,99.9409820585458,6.884008594413973,Moyen,1,2022
22000064,P6212001                 ,CHARGE ACETYLENE              ,Énergie/Carburant,2.0,PI,2022-01-14,2022-01-20,1,5005182,Société Gharbi,Manouba,134061.0,72.14353163361662,8472,1,99.9409820585458,6.883985645571596,Moyen,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,1.0,UN,2022-01-21,2022-01-26,1,5006609,Société Saeed,Zaghouan,1580000.0,36.84210526315789,57,1,94.73684210526315,4.322518784831973,Risqué,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,3.0,UN,2022-01-21,2022-01-25,0,5006609,Société Saeed,Monastir,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,3.0,UN,2022-01-21,2022-01-29,0,5006609,Société Saeed,Tunis,0.0,36.84210526315789,57,0,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,3.0,UN,2022-01-21,2022-01-30,0,5006609,Société Saeed,Sfax,0.0,36.84210526315789,57,0,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,3.0,UN,2022-01-21,2022-01-24,0,5006609,Société Saeed,Kairouan,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,3.0,UN,2022-01-21,2022-01-22,0,5006609,Société Saeed,Béja,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,3.0,UN,2022-01-21,2022-01-31,0,5006609,Société Saeed,Sfax,0.0,36.84210526315789,57,0,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,3.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Manouba,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,4.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Ben Arous,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,4.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Kairouan,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,4.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Tataouine,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,4.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Jendouba,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,4.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Mahdia,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,4.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Nabeul,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,4.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Gabès,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,4.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Siliana,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,5.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Tozeur,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse bacteriologique       ,Service,5.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Mahares,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,2.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Gabès,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000065,HSDQ0009                 ,analyse physico chimique      ,Service,3.0,UN,2022-01-21,2022-01-26,0,5006609,Société Saeed,Kairouan,0.0,36.84210526315789,57,1,94.73684210526315,6.322517519009989,Moyen,1,2022
22000100,HSDT0002                 ,Tole striée noire 1mX2mX2mm   ,Matériel,6.0,UN,2022-01-21,2022-01-29,0,5005182,Société Gharbi,Mahares,0.0,72.14353163361662,8472,1,99.9409820585458,8.883970727101037,Très Fiable,1,2022
22000101,P9693617                 ,Réf Serdi 2504060             ,Matériel,5.0,PC,2022-01-21,2022-01-28,1,5005182,Société Gharbi,Mahares,732838.2,72.14353163361662,8472,1,99.9409820585458,6.88397345621269,Moyen,1,2022
22000102,HSDT0024                 ,Contrat TP PACKAGING 2022     ,Service,11.0,UN,2022-02-08,2022-02-18,1,5005839,Société Belhadj,Manouba,111500000.0,99.96903065964695,3229,1,99.84515329823475,7.3752537091813775,Moyen,2,2022
22000102,HSDT0024                 ,Contrat TP PROCESS 2022       ,Service,11.0,UN,2022-02-08,2022-02-15,1,5005839,Société Belhadj,Kairouan,41813000.0,99.96903065964695,3229,1,99.84515329823475,7.375253739076171,Moyen,2,2022
